date,mxn_close,score,wsum,band,s_vix,s_mxn,s_spx,s_carry,s_mxnvol,s_move,s_btc,s_curve,s_gold,r_vix,r_mxn,r_spx,r_carry,r_mxnvol,r_move,r_btc,r_curve,r_gold
2005-04-11,11.0885,67,83,CONSTRUCTIVE,79.899,75.285,50.030,,64.361,70.191,,80.000,24.531,11.98000,-0.37287,0.00085,,6.79693,78.20000,,0.70000,0.39822
2005-04-12,11.119,65,83,CONSTRUCTIVE,82.491,30.541,69.038,,69.885,72.015,,78.000,66.067,11.30000,0.27506,0.55452,,5.86225,75.94000,,0.67000,-0.23332
2005-04-13,11.0605,62,83,CONSTRUCTIVE,74.029,82.297,15.614,,71.430,72.291,,81.333,24.565,13.31000,-0.52613,-1.17616,,5.58456,75.59000,,0.72000,0.39756
2005-04-14,11.098,54,83,CONSTRUCTIVE,67.754,27.969,19.235,,70.485,73.203,,84.667,95.279,14.53000,0.33904,-1.00018,,5.75547,74.42000,,0.77000,-1.23457
2005-04-15,11.0875,49,83,DEFENSIVE,48.500,56.617,8.328,,70.519,65.359,,82.000,37.364,17.74000,-0.09461,-1.67205,,5.74938,83.84000,,0.73000,0.21226
2005-04-18,11.1305,53,83,CONSTRUCTIVE,55.848,25.991,61.288,,69.969,65.359,,81.333,18.403,16.56000,0.38782,0.29406,,5.84737,83.84000,,0.72000,0.61191
2005-04-19,11.079,67,83,CONSTRUCTIVE,65.362,77.325,70.742,,70.285,65.118,,80.667,6.329,14.96000,-0.46269,0.59338,,5.79123,84.11000,,0.71000,1.26316
2005-04-20,11.0615,51,83,CONSTRUCTIVE,53.619,60.515,12.987,,70.528,65.217,,80.000,21.926,16.92000,-0.15796,-1.32549,,5.74772,84.00000,,0.70000,0.55440
2005-04-21,11.039,73,83,RISK-ON,68.406,63.693,94.366,,72.404,63.587,,78.000,75.531,14.41000,-0.20341,1.97362,,5.40463,85.81000,,0.67000,-0.52837
2005-04-22,11.036,55,83,CONSTRUCTIVE,62.948,51.983,27.768,,73.095,65.056,,76.000,33.454,15.38000,-0.02718,-0.67503,,5.27471,84.18000,,0.64000,0.30023
2005-04-25,11.053,63,83,CONSTRUCTIVE,67.261,38.695,76.825,,72.754,69.903,,74.667,46.000,14.62000,0.15404,0.86623,,5.33921,78.55000,,0.62000,0.06908
2005-04-26,11.059,53,83,CONSTRUCTIVE,65.645,45.944,22.478,,74.993,69.363,,74.000,14.650,14.91000,0.05428,-0.88375,,4.90657,79.20000,,0.61000,0.75932
2005-04-27,11.098,60,83,CONSTRUCTIVE,65.870,25.800,63.633,,73.987,69.430,,74.000,92.741,14.87000,0.35265,0.39503,,5.10396,79.12000,,0.61000,-1.11898
2005-04-28,11.115,50,83,CONSTRUCTIVE,53.991,38.725,17.268,,75.496,70.150,,73.333,50.000,16.86000,0.15318,-1.13804,,4.80596,78.25000,,0.60000,0.00000
2005-04-29,11.082,69,83,RISK-ON,63.356,70.237,83.587,,76.108,66.515,,70.000,25.523,15.31000,-0.29690,1.19225,,4.68154,82.53000,,0.55000,0.46189
2005-05-02,11.027,72,83,RISK-ON,64.451,80.286,65.544,,74.935,66.716,,71.333,94.938,15.12000,-0.49630,0.45901,,4.91799,82.30000,,0.57000,-1.26437
2005-05-03,11.0255,62,83,CONSTRUCTIVE,67.754,51.019,47.020,,75.382,67.410,,68.667,81.561,14.53000,-0.01360,-0.08519,,4.82893,81.50000,,0.53000,-0.65192
2005-05-04,10.986,71,83,RISK-ON,71.351,73.880,84.588,,75.060,62.589,,71.333,22.818,13.85000,-0.35826,1.24702,,4.89314,86.90000,,0.57000,0.53902
